line,linecode
L1,IS7098_240SQ_TRUNK
L2,IS7098_240SQ_TRUNK
L3,IS7098_240SQ_TRUNK
L4,IS7098_240SQ_TRUNK
L5,IS7098_240SQ_TRUNK
L6,IS7098_35SQ_SMALL
L7,IS7098_35SQ_SMALL
L8,IS7098_35SQ_SMALL
L9,IS7098_35SQ_SMALL
L10,IS7098_35SQ_SMALL
L11,IS7098_35SQ_SMALL
L12,IS7098_95SQ_MEDIUM
L13,IS7098_35SQ_SMALL
L14,IS7098_35SQ_SMALL
L15,IS7098_35SQ_SMALL
L16,IS7098_35SQ_SMALL
L17,IS7098_35SQ_SMALL
L18,IS7098_35SQ_SMALL
L19,IS7098_240SQ_TRUNK
L20,IS7098_95SQ_MEDIUM
L21,IS7098_35SQ_SMALL
L22,IS7098_35SQ_SMALL
L23,IS7098_35SQ_SMALL
L24,IS7098_95SQ_MEDIUM
L25,IS7098_35SQ_SMALL
L26,IS7098_35SQ_SMALL
L27,IS7098_35SQ_SMALL
L28,IS7098_35SQ_SMALL
L29,IS7098_240SQ_TRUNK
L30,IS7098_95SQ_MEDIUM
L31,IS7098_95SQ_MEDIUM
L32,IS7098_240SQ_TRUNK
L33,IS7098_35SQ_SMALL
L34,IS7098_95SQ_MEDIUM
L36,IS7098_35SQ_SMALL
L37,IS7098_95SQ_MEDIUM
S01,IS7098_240SQ_TRUNK
