metric,baseline,updated,delta(updated-baseline)
MaxPuVoltage,0.9984,0.9922,-0.006199999999999983
MinPuVoltage,0.95426,0.95595,0.0016899999999999693
lv_min_pu,0.95426,0.95595,0.0016899999999999693
lv_below_090_count,0,0,0
MWLosses,0.134466,0.065979,-0.068487
pctLosses,3.09,1.54,-1.5499999999999998
line_losses_W,24309.20277870737,27356.970564750332,3047.7677860429612
transformer_losses_W,110156.46149999998,38622.0207,-71534.44079999998
total_losses_W,134465.66427870738,65978.99126475034,-68486.67301395704
transformer_loss_share_pct,81.92162816500007,58.53684628948555,-23.38478187551452
line_overload_count,0,0,0
faultstudy_Isc_A_ph1,104959.34431142894,20981.99109387285,-83977.35321755608
faultstudy_Isc_A_ph2,104959.34431033797,20981.991097300164,-83977.3532130378
faultstudy_Isc_A_ph3,104959.34431250932,20981.991093767705,-83977.35321874161
expected_fault_Isc_A_from_MVAsc3_400,,20994.555243259118,
