Name, Imax, %normal, %emergency, kW, kvar, NumCustomers, TotalCustomers, NumPhases, kVBase
Line.FF01,    184.474,    46.12,    30.75,    3125.82,    1598.08, 0, 28, 3, 6.35 
Line.FF02,    176.837,    44.21,    29.47,    2986.81,    1525.64, 0, 27, 3, 6.35 
Line.FF03,    176.839,    44.21,    29.47,    2979.49,    1520.94, 0, 27, 3, 6.35 
Line.FF04, 0.00400442,     0.00,     0.00, 6.17991E-10, -0.0753637, 0, 0, 3, 6.35 
Line.FF05, 0.00191376,     0.00,     0.00, 5.0689E-10, -0.0360172, 0, 0, 3, 6.35 
Line.FF06,    176.846,    44.21,    29.47,     2965.1,    1511.81, 0, 27, 3, 6.35 
Line.FF07,    170.278,    42.57,    28.38,    2854.65,    1455.66, 0, 26, 3, 6.35 
Line.FF08,     9.8653,     2.47,     1.64,    165.336,     83.726, 0, 2, 3, 6.35 
Line.FF09,    3.28462,     0.82,     0.55,    55.1121,    27.7436, 0, 1, 3, 6.35 
Line.FF10,  0.0109067,     0.00,     0.00, 1.57517E-8,   -0.20487, 0, 0, 3, 6.35 
Line.FF11,    160.414,    40.10,    26.74,    2684.62,    1368.92, 0, 24, 3, 6.35 
Line.FF12,    153.828,    38.46,    25.64,    2572.29,    1311.57, 0, 23, 3, 6.35 
Line.FF13,    148.363,    37.09,    24.73,    2478.78,    1264.16, 0, 22, 3, 6.35 
Line.FF14,    148.364,    37.09,    24.73,    2477.49,    1263.34, 0, 22, 3, 6.35 
Line.FF15,    135.161,    33.79,    22.53,    2256.86,    1150.84, 0, 21, 3, 6.35 
Line.FF16,     127.43,    31.86,    21.24,    2127.75,    1084.67, 0, 20, 3, 6.35 
Line.FF17,    120.826,    30.21,    20.14,    2015.36,    1027.28, 0, 19, 3, 6.35 
Line.FF18,    117.518,    29.38,    19.59,    1956.83,     997.07, 0, 18, 3, 6.35 
Line.FF19, 0.000558811,     0.00,     0.00, -1.17021E-10,  -0.010441, 0, 0, 3, 6.35 
Line.FF20,    117.519,    29.38,    19.59,    1956.45,    996.844, 0, 18, 3, 6.35 
Line.FF21,    113.679,    28.42,    18.95,    1888.93,    961.755, 0, 17, 3, 6.35 
Line.FF22,    110.372,    27.59,    18.40,    1832.44,    932.807, 0, 16, 3, 6.35 
Line.FF23,    104.865,    26.22,    17.48,    1739.61,    885.829, 0, 15, 3, 6.35 
Line.FF24,    96.1553,    24.04,    16.03,    1593.71,    810.309, 0, 14, 3, 6.35 
Line.FF25,    11.1036,     2.78,     1.85,    183.664,    94.0159, 0, 3, 3, 6.35 
Line.FF26,     4.1461,     1.04,     0.69,    68.8204,    34.6164, 0, 2, 3, 6.35 
Line.FF27,    2.07501,     0.52,     0.35,    34.4099,    17.3867, 0, 1, 3, 6.35 
Line.FF28,    2.07224,     0.52,     0.35,    34.4084,    17.2755, 0, 1, 3, 6.35 
Line.FF29,    2.07747,     0.52,     0.35,    34.4059,    17.4892, 0, 1, 3, 6.35 
Line.FF30,    8.70149,     2.18,     1.45,    143.733,     74.061, 0, 1, 3, 6.35 
Line.FF31, 0.00605748,     0.00,     0.00, 2.63648E-9,  -0.112556, 0, 0, 3, 6.35 
Line.FF32,    76.3513,    19.09,    12.73,    1265.37,    641.657, 0, 10, 3, 6.35 
Line.FF33,    71.9592,    17.99,    11.99,    1192.29,    605.087, 0, 9, 3, 6.35 
Line.FF34,    54.3479,    13.59,     9.06,    898.804,      456.4, 0, 7, 3, 6.35 
Line.FF35,    43.3147,    10.83,     7.22,    716.164,    364.014, 0, 6, 3, 6.35 
Line.FF36,    39.4958,     9.87,     6.58,    653.072,    331.632, 0, 5, 3, 6.35 
Line.FF37,    26.3371,     6.58,     4.39,     435.56,    220.716, 0, 4, 3, 6.35 
Line.FF38,    13.1781,     3.29,     2.20,    218.214,    109.873, 0, 3, 3, 6.35 
Line.FF39,    13.1787,     3.29,     2.20,    218.202,    109.891, 0, 3, 3, 6.35 
Line.FF40,    9.89442,     2.47,     1.65,    163.809,    82.3816, 0, 2, 3, 6.35 
Line.FF41,    3.28833,     0.82,     0.55,    54.3163,    27.6248, 0, 1, 3, 6.35 
Line.FF42,    3.28821,     0.82,     0.55,    54.3078,    27.6263, 0, 1, 3, 6.35 
Line.FF43,    14.0106,     3.50,     2.34,    231.849,    117.377, 0, 0, 3, 6.35 
Line.FF44,    2.97849,     0.74,     0.50,    49.2409,    25.0373, 0, 1, 3, 6.35 
Line.FF45,    3.60789,     0.90,     0.60,   -59.6572,   -30.3044, 0, 2, 3, 6.35 
Line.FF46,      3.607,     0.90,     0.60,   -59.6585,   -30.2685, 0, 2, 3, 6.35 
Transformer.T_HAVELI_PANCHAYAT,    7.63955,    66.16,    48.52,    128.987,    65.9988, 1, 1, 3, 6.35 
Transformer.T_SHAPUR,    6.58686,    57.04,    41.83,    110.221,    56.0113, 1, 1, 3, 6.35 
Transformer.T_AMBEGAL,    13.2026,    57.17,    41.92,    220.461,    112.393, 1, 1, 3, 6.35 
Transformer.T_PATTANTALI,    7.73167,    66.96,    49.10,    128.965,    66.0737, 1, 1, 3, 6.35 
Transformer.T_PANKAJ_BUILDERS,    6.60494,    57.20,    41.95,    110.233,    56.0316, 1, 1, 3, 6.35 
Transformer.T_KASHIMATH,    3.30989,    57.33,    42.04,    55.1214,    28.0669, 1, 1, 3, 6.35 
Transformer.T_GVMS,     3.8423,    66.55,    48.80,    63.7368,    32.7181, 1, 1, 3, 6.35 
Transformer.T_SAHAKARI,    3.30856,    57.31,    42.02,    54.9257,     27.971, 1, 1, 3, 6.35 
Transformer.T_IMA,    5.50815,    47.70,    34.98,    91.5529,    46.1783, 1, 1, 3, 6.35 
Transformer.T_SHIVNAGARI,    8.71118,    75.44,    55.32,    143.927,    74.2972, 1, 1, 3, 6.35 
Transformer.T_GANESH_TEMPLE,    8.70485,    75.39,    55.28,    143.728,    74.1941, 1, 1, 3, 6.35 
Transformer.T_GTDC_TOURIST,    4.39234,    38.04,    27.90,    72.9874,    36.5159, 1, 1, 3, 6.35 
Transformer.T_PES,     6.9589,    75.33,    55.24,    114.827,    59.4378, 1, 1, 3, 6.35 
Transformer.T_SUNRISE_CASHEW,    3.81927,    66.15,    48.51,    63.0117,    32.3448, 1, 1, 3, 6.35 
Transformer.T_HOUSING_BOARD_NEW,    11.0329,    47.77,    35.03,    182.591,    92.3615, 1, 1, 3, 6.35 
Transformer.T_HOUSING_BOARD_I,     6.5871,    57.05,    41.83,    108.897,    55.3706, 1, 1, 3, 6.35 
Transformer.T_SAAD_PHASE_II,    11.0333,    47.78,    35.04,    182.605,    92.3686, 1, 1, 3, 6.35 
Transformer.T_SAAD_I,    13.1598,    56.98,    41.79,    217.348,    110.849, 1, 1, 3, 6.35 
Transformer.T_SAAD_II,    13.1593,    56.98,    41.79,    217.333,    110.841, 1, 1, 3, 6.35 
Transformer.T_KATAMGAL,    3.28919,    56.97,    41.78,    54.3153,    27.6594, 1, 1, 3, 6.35 
Transformer.T_CONEM_II,    2.07826,    57.14,    41.90,    34.4056,    17.5214, 1, 1, 3, 6.35 
Transformer.T_CONEM_I_HIGHWAY,    2.07835,    57.14,    41.90,    34.4084,    17.5228, 1, 1, 3, 6.35 
Transformer.T_NIT_HTC,    6.60736,    38.15,    27.97,     109.49,    54.7931, 1, 1, 3, 6.35 
Transformer.T_ITI_HTC,    3.28893,    56.97,    41.77,    54.3069,    27.6551, 1, 1, 3, 6.35 
Transformer.T_CHIRPUTEM_SCHOOL,    3.29194,    57.02,    41.81,    55.1093,    28.0462, 1, 1, 3, 6.35 
Transformer.T_RTO_OFFICE_NEW,    6.58135,    57.00,    41.80,    110.217,    56.0051, 1, 1, 3, 6.35 
Transformer.T_AMBEGAL_BRANCH,    5.46527,    47.33,    34.71,    91.5288,    46.1382, 1, 1, 3, 6.35 
Transformer.T_MILITARY_GATE,    6.56887,    56.89,    41.72,    110.209,    55.9911, 1, 1, 3, 6.35 
