name,bus,transformer,kW,kvar
EV_Charger_1,saad_ibus,Transformer.t109,60,19.72
EV_Charger_2,rajendra_talakbus1,Transformer.rajendra_talak,60,19.72
EV_Charger_3,chikalibus1,Transformer.chikali,60,19.72
EV_Charger_4,kayji_skylinebus13,Transformer.t13,60,19.72
EV_Charger_5,agarwal_htcbus5,Transformer.t5,60,19.72
EV_Charger_6,shigumomand_lv,Transformer.t_shigumomand,60,19.72
EV_Charger_7,kapileshwaribus1,Transformer.kapileshwari,60,19.72
EV_Charger_8,shantadurga_newbus1,Transformer.shantadurga_new,60,19.72
EV_Charger_9,military_gatebus,Transformer.t120,60,19.72
EV_Charger_10,khadpabandh_garden_iibus,Transformer.t84,60,19.72
EV_Charger_11,ramnathibus1,Transformer.ramnathi,60,19.72
EV_Charger_12,kashimathbus,Transformer.t97,60,19.72
EV_Charger_13,mamladtdarbus,Transformer.t51,60,19.72
EV_Charger_14,durbhatbus1,Transformer.durbhat,60,19.72
EV_Charger_15,adpaibus1,Transformer.adpai,60,19.72
EV_Charger_16,rprs_schoolbus1,Transformer.rprs_school,60,19.72
EV_Charger_17,mgschool_lv,Transformer.t_mgschool,60,19.72
